No,Name,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
52,"Nelson, Corey",lineb,ACT,73,226,22-Apr-92,3,Oklahoma,Broncos,Colorado
27,"Nelson, Reggie",dback,ACT,71,210,21-Sep-83,10,Florida,Raiders,Nevada
32,"Nelson, Robert",dback,ACT,70,180,16-Feb-90,2,Arizona State,Texans,Texas
20,"Nelson, Steven",dback,ACT,71,194,22-Jan-93,2,Oregon State,Chiefs,Missouri
23,"Newman, Terence",dback,ACT,70,197,4-Sep-78,14,Kansas State,Vikings,Minnesota
72,"Newton, Derek",off,RES,78,315,16-Nov-87,6,Arkansas State,Texans,Texas
52,"Nicolas, Dadi",lineb,RES,75,235,29-Sep-92,0,Virginia Tech,Chiefs,Missouri
50,"Ninkovich, Rob",lineb,ACT,74,260,1-Feb-84,11,Purdue,Patriots,Massachusetts
39,"Nixon, Taurean",dback,ACT,70,187,7-Feb-91,1,Tulane,Broncos,Colorado
24,"Norman, Josh",dback,ACT,72,200,15-Dec-87,5,Coastal Carolina,Redskins,DC
52,"Norris, Jared",lineb,ACT,73,240,19-Jul-93,0,Utah,Panthers,North Carolina
68,"Norwell, Andrew",off,ACT,78,325,25-Oct-91,3,Ohio State,Panthers,North Carolina
79,"Nsekhe, Ty",off,ACT,80,335,27-Oct-85,2,Texas State,Redskins,DC
53,"Nzeocha, Mark",lineb,ACT,75,239,19-Jan-90,2,Wyoming,Cowboys,Texas
54,"Ochi, Victor",lineb,ACT,73,242,2-Oct-93,0,Stony Brook,Chiefs,Missouri
52,"Ogletree, Alec",lineb,ACT,74,245,25-Sep-91,4,Georgia,Rams,California
73,"Oher, Michael",off,RES,76,315,28-May-86,8,Mississippi,Panthers,North Carolina
57,"Okafor, Alex",lineb,ACT,76,261,8-Feb-91,4,Texas,Cardinals,Arizona
57,"Okafor, Alex",lineb,ACT,76,261,8-Feb-91,4,Texas,Eagles,Pennsylvania
23,"Okotcha, Bennett",dback,RES,72,195,7-Feb-93,0,Texas-San Antonio,Titans,Tennessee 
30,"Olatoye, Deji",dback,ACT,73,205,20-Jul-91,2,North Carolina A&T,Falcons,Georgia
48,"Onwuasor, Patrick",lineb,ACT,72,217,22-Aug-92,0,Portland State,Ravens,Maryland
98,"Orakpo, Brian",lineb,ACT,76,257,31-Jul-86,8,Texas,Titans,Tennessee 
44,"Orchard, Nate",lineb,RES,76,255,5-Jan-93,2,Utah,Browns,Ohio
54,"Orr, Zach",lineb,RES,72,225,9-Jun-92,3,North Texas,Ravens,Maryland
50,"Palmer, Nate",lineb,ACT,74,248,23-Sep-89,4,Illinois State,Titans,Tennessee 
61,"Paradis, Matt",off,ACT,75,300,12-Oct-89,2,Boise State,Broncos,Colorado
38,"Parker, Ron",dback,ACT,72,206,17-Aug-87,6,Newberry,Chiefs,Missouri
34,"Parks, Will",dback,ACT,72,200,29-Jul-94,0,Arizona,Broncos,Colorado
42,"Paysinger, Spencer",lineb,ACT,74,249,28-Jun-88,6,Oregon,Dolphins,Florida
72,"Penn, Donald",off,ACT,76,315,27-Apr-83,11,Utah State,Raiders,Nevada
56,"Peppers, Julius",lineb,ACT,79,287,18-Jan-80,15,North Carolina,Packers,Wisconsin
53,"Perry, Joshua",lineb,ACT,76,253,26-Apr-94,0,Ohio State,Chargers,California
53,"Perry, Nick",lineb,ACT,75,265,12-Apr-90,5,USC,Packers,Wisconsin
52,"Perryman, Denzel",lineb,ACT,71,240,5-Dec-92,2,Miami (Fla.),Chargers,California
52,"Peters, Brian",lineb,ACT,76,240,31-Oct-88,2,Northwestern (Ia),Texans,Texas
22,"Peters, Marcus",dback,ACT,72,197,9-Jan-93,2,Washington,Chiefs,Missouri
21,"Peterson, Patrick",dback,ACT,73,203,11-Jul-90,6,LSU,Cardinals,Arizona
21,"Peterson, Patrick",dback,ACT,73,203,11-Jul-90,6,LSU,Eagles,Pennsylvania
31,"Phillips, Adrian",dback,ACT,71,210,28-Mar-92,2,Texas,Chargers,California
35,"Phillips, Dashaun",dback,ACT,71,190,3-Jan-91,2,Tarleton State,Redskins,DC
58,"Pierre-Louis, Kevin",lineb,ACT,72,230,7-Oct-91,3,Boston College,Seahawks,Washington
47,"Pinkins, Eric",dback,ACT,75,230,7-Aug-91,3,San Diego State,Giants,New York
40,"Pitts, Lafayette",dback,ACT,70,196,24-Sep-92,0,Pittsburgh,Dolphins,Florida
35,"Pleasant, Eddie",dback,ACT,70,200,17-Dec-88,4,Oregon,Texans,Texas
34,"Poole, Brian",dback,ACT,69,213,20-Oct-92,0,Florida,Falcons,Georgia
53,"Porter, Sean",lineb,RES,73,242,12-Jan-91,4,Texas A&M,Jaguars,Florida
21,"Porter, Tracy",dback,ACT,71,200,11-Aug-86,9,Indiana,Bears,Illinois
51,"Posluszny, Paul",lineb,ACT,74,232,10-Oct-84,10,Penn State,Jaguars,Florida
53,"Pouncey, Maurkice",off,ACT,76,304,24-Jul-89,7,Florida,Steelers,Pennsylvania
51,"Pouncey, Mike",off,RES,77,299,24-Jul-89,6,Florida,Dolphins,Florida
59,"Powell, Ronald",lineb,ACT,75,237,14-May-91,2,Florida,Seahawks,Washington
26,"Powers, Jerraud",dback,ACT,70,193,19-Jul-87,8,Auburn,Ravens,Maryland
33,"Poyer, Jordan",dback,RES,72,191,25-Apr-91,4,Oregon State,Browns,Ohio
25,"Price, Jabari",dback,RES,71,200,31-Aug-92,3,North Carolina,Vikings,Minnesota
27,"Price, Sheldon",dback,RES,74,194,26-Mar-91,1,UCLA,Ravens,Maryland
31,"Prosinski, Chris",dback,ACT,73,213,28-Apr-87,6,Wyoming,Bears,Illinois
43,"Pruitt, Jimmy",dback,RES,72,203,28-Nov-92,0,San Jose State,Saints,Lousiana
25,"Pryor, Calvin",dback,ACT,71,207,2-Jul-92,3,Louisville,Jets,New York
52,"Pullard, Hayes",lineb,ACT,72,233,18-Apr-92,2,USC,Jaguars,Florida
73,"Pulley, Spencer",off,ACT,76,308,4-Apr-93,0,Vanderbilt,Chargers,California
27,"Quin, Glover",dback,ACT,72,207,15-Jan-86,8,New Mexico,Lions,Michigan
79,"Qvale, Brent",off,ACT,79,315,11-Mar-91,2,Nebraska,Jets,New York
59,"Ragland, Reggie",lineb,RES,74,252,23-Sep-93,0,Alabama,Bills,New York
30,"Rambo, Bacarri",dback,ACT,72,211,27-Jun-90,4,Georgia,Dolphins,Florida
20,"Ramsey, Jalen",dback,ACT,73,211,24-Oct-94,0,Florida State,Jaguars,Florida
23,"Randall, Damarious",dback,ACT,71,196,29-Aug-92,2,Arizona State,Packers,Wisconsin
43,"Randolph, Brian",dback,RES,72,198,20-Oct-92,0,Tennessee,Rams,California
56,"Ray, Shane",lineb,ACT,75,245,18-May-93,2,Missouri,Broncos,Colorado
27,"Reaser, Keith",dback,ACT,72,190,31-Jul-91,2,Florida Atlantic,49ers,California
23,"Redmond, Will",dback,RES,72,186,28-Dec-93,0,Mississippi State,49ers,California
64,"Reed, Chris",off,RES,77,310,22-Jul-92,1,Minnesota State,Jaguars,Florida
32,"Reed, Kalan",dback,ACT,71,192,29-Dec-93,0,Southern Mississippi,Titans,Tennessee 
38,"Reed, Trovon",dback,ACT,72,191,30-Dec-90,1,Auburn,Chargers,California
35,"Reid, Eric",dback,RES,73,213,10-Dec-91,4,LSU,49ers,California
71,"Reiff, Riley",off,ACT,78,305,1-Dec-88,5,Iowa,Lions,Michigan
57,"Reilly, Trevor",lineb,ACT,77,245,17-Jan-88,3,Utah,Dolphins,Florida
62,"Reiter, Austin",off,RES,75,307,27-Nov-91,1,South Florida,Browns,Ohio
74,"Remmers, Mike",off,ACT,77,310,11-Apr-89,4,Oregon State,Panthers,North Carolina
24,"Revis, Darrelle",dback,ACT,71,198,14-Jul-85,10,Pittsburgh,Jets,New York
57,"Rey, Vincent",lineb,ACT,72,250,6-Sep-87,6,Duke,Bengals,Ohio
39,"Reynolds, Ed",dback,ACT,73,207,18-Oct-91,2,Stanford,Browns,Ohio
53,"Reynolds, LaRoy",lineb,ACT,73,240,3-Nov-90,4,Virginia,Falcons,Georgia
46,"Rhodes, Luke",lineb,ACT,74,242,2-Dec-92,0,William & Mary,Colts,Indiana
29,"Rhodes, Xavier",dback,ACT,73,218,19-Jun-90,4,Florida State,Vikings,Minnesota
37,"Richards, Jordan",dback,ACT,71,210,21-Jan-93,2,Stanford,Patriots,Massachusetts
70,"Richburg, Weston",off,ACT,75,298,9-Jul-91,3,Colorado State,Giants,New York
35,"Riley, Curtis",dback,ACT,72,190,18-Jul-92,2,Fresno State,Titans,Tennessee 
54,"Riley, Perry",lineb,ACT,72,240,3-May-88,7,LSU,Raiders,Nevada
48,"Rivers, Gerald",lineb,RES,74,250,22-Jun-90,2,Mississippi,Texans,Texas
52,"Roach, Trevor",lineb,ACT,74,247,6-Mar-92,1,Nebraska,Bengals,Ohio
39,"Roberson, Marcus",dback,ACT,72,191,4-Oct-92,3,Florida,Bills,New York
27,"Roberts, Darryl",dback,ACT,72,182,26-Nov-90,2,Marshall,Jets,New York
52,"Roberts, Elandon",lineb,ACT,71,235,22-Apr-94,0,Houston,Patriots,Massachusetts
52,"Robertson, Craig",lineb,ACT,73,234,11-Feb-88,5,North Texas,Saints,Lousiana
21,"Robey-Coleman, Nickell",dback,ACT,68,165,17-Jan-92,4,USC,Bills,New York
51,"Robinson, Edmond",lineb,ACT,75,245,23-Feb-92,2,Newberry,Vikings,Minnesota
73,"Robinson, Greg",off,ACT,77,332,21-Oct-92,3,Auburn,Rams,California
26,"Robinson, Josh",dback,ACT,70,200,8-Jan-91,5,Central Florida,Buccaneers,Florida
57,"Robinson, Keenan",lineb,ACT,75,238,7-Jul-89,5,Texas,Giants,New York
25,"Robinson, Patrick",dback,RES,71,191,7-Sep-87,7,Florida State,Colts,Indiana
33,"Robinson, Rashard",dback,ACT,73,177,23-Jul-95,0,LSU,49ers,California
29,"Roby, Bradley",dback,ACT,71,194,1-May-92,3,Ohio State,Broncos,Colorado
41,"Rodgers-Cromartie, Dominique",dback,ACT,74,193,7-Apr-86,9,Tennessee State,Giants,New York
38,"Rolle, Jumal",dback,RES,72,190,28-May-90,3,Catawba,Ravens,Maryland
24,"Rollins, Quinten",dback,ACT,71,195,15-Jul-92,2,Miami (Ohio),Packers,Wisconsin
25,"Rowe, Eric",dback,ACT,73,205,3-Oct-92,2,Utah,Patriots,Massachusetts
54,"Rush, Marcus",lineb,ACT,74,251,19-Jun-91,1,Michigan State,Jaguars,Florida
20,"Russell, KeiVarae",dback,ACT,71,192,19-Oct-93,0,Notre Dame,Bengals,Ohio
47,"Ryan, Jake",lineb,ACT,74,240,27-Feb-92,2,Michigan,Packers,Wisconsin
26,"Ryan, Logan",dback,ACT,71,195,9-Feb-91,4,Rutgers,Patriots,Massachusetts
76,"Saffold, Rodger",off,ACT,77,332,6-Jun-88,7,Indiana,Rams,California
23,"Sample, James",dback,RES,74,215,23-Jun-92,2,Louisville,Jaguars,Florida
31,"Sanchez, Zack",dback,RES,71,185,11-Oct-93,0,Oklahoma,Panthers,North Carolina
33,"Sanford, Jamarca",dback,RES,70,200,27-Aug-85,8,Mississippi,Saints,Lousiana
32,"Scandrick, Orlando",dback,ACT,70,196,10-Feb-87,9,Boise State,Cowboys,Texas
57,"Scarlett, Brennan",lineb,ACT,75,260,31-Jul-93,0,Stanford,Texans,Texas
53,"Schobert, Joe",lineb,ACT,73,245,6-Nov-93,0,Wisconsin,Browns,Ohio
73,"Schraeder, Ryan",off,ACT,79,300,4-May-88,4,Valdosta State,Falcons,Georgia
79,"Scott, Chris",off,ACT,76,340,4-Aug-87,5,Tennessee,Panthers,North Carolina
21,"Searcy, Da'Norris",dback,ACT,71,207,16-Nov-88,6,North Carolina,Titans,Tennessee 
39,"Seisay, Mohammed",dback,RES,74,206,22-May-90,3,Nebraska,Seahawks,Washington
34,"Sendejo, Andrew",dback,RES,73,210,9-Sep-87,6,Rice,Vikings,Minnesota
30,"Sensabaugh, Coty",dback,ACT,71,187,15-Nov-88,5,Clemson,Giants,New York
29,"Seymour, Kevon",dback,ACT,72,185,30-Nov-93,0,USC,Bills,New York
20,"Shabazz, Al-Hajj",dback,ACT,72,200,2-Aug-92,1,West Chester,Steelers,Pennsylvania
26,"Shaw, Josh",dback,ACT,73,200,27-Mar-92,2,USC,Bengals,Ohio
50,"Shazier, Ryan",lineb,ACT,73,230,6-Sep-92,3,Ohio State,Steelers,Pennsylvania
35,"Shead, DeShawn",dback,ACT,74,212,28-Jun-89,5,Portland State,Seahawks,Washington
38,"Shepherd, JaCorey",dback,ACT,71,199,29-Mar-93,2,Kansas,49ers,California
91,"Sheppard, Kelvin",lineb,ACT,74,249,2-Jan-88,6,LSU,Giants,New York
35,"Sherels, Marcus",dback,ACT,70,175,30-Sep-87,6,Minnesota,Vikings,Minnesota
25,"Sherman, Richard",dback,ACT,75,195,30-Mar-88,6,Stanford,Seahawks,Washington
37,"Shields, Sam",dback,RES,71,184,8-Dec-87,7,Miami (Fla.),Packers,Wisconsin
53,"Shipley, A.Q.",off,ACT,73,307,22-May-86,5,Penn State,Cardinals,Arizona
53,"Shipley, A.Q.",off,ACT,73,307,22-May-86,5,Penn State,Eagles,Pennsylvania
46,"Shirley, Josh",lineb,ACT,73,235,4-Jan-92,2,Nevada-Las Vegas,Bears,Illinois
31,"Simmons, Justin",dback,ACT,74,202,19-Nov-93,0,Boston College,Broncos,Colorado
51,"Simon, John",lineb,ACT,73,260,14-Oct-90,4,Ohio State,Texans,Texas
36,"Sims, LeShaun",dback,ACT,72,203,18-Sep-93,0,Southern Utah,Titans,Tennessee 
53,"Skinner, Deontae",lineb,ACT,74,250,18-Dec-90,2,Mississippi State,Giants,New York
56,"Skov, Shayne",lineb,RES,75,247,9-Jul-90,2,Stanford,49ers,California
41,"Skrine, Buster",dback,ACT,69,185,26-Apr-89,6,Tennessee-Chattanooga,Jets,New York
55,"Skuta, Dan",lineb,ACT,74,252,21-Apr-86,8,Grand Valley State,Jaguars,Florida
68,"Slauson, Matt",off,ACT,77,315,18-Feb-86,8,Nebraska,Chargers,California
23,"Slay, Darius",dback,ACT,72,190,1-Jan-91,4,Mississippi State,Lions,Michigan
99,"Smith, Aldon",lineb,SUS,76,265,25-Sep-89,6,Missouri,Raiders,Nevada
51,"Smith, Daryl",lineb,ACT,74,250,14-Mar-82,13,Georgia Tech,Buccaneers,Florida
31,"Smith, Derron",dback,ACT,70,200,4-Feb-92,2,Fresno State,Bengals,Ohio
20,"Smith, D'Joun",dback,ACT,71,193,23-Sep-92,2,Florida Atlantic,Titans,Tennessee 
22,"Smith, Harrison",dback,ACT,74,214,2-Feb-89,5,Notre Dame,Vikings,Minnesota
22,"Smith, Jimmy",dback,RES,74,210,26-Jul-88,6,Colorado,Ravens,Maryland
53,"Smith, Malcolm",lineb,ACT,72,225,5-Jul-89,6,USC,Raiders,Nevada
94,"Smith, Preston",lineb,ACT,77,268,17-Nov-92,2,Mississippi State,Redskins,DC
29,"Smith, Ryan",dback,ACT,71,189,7-Sep-93,0,North Carolina Central,Buccaneers,Florida
21,"Smith, Sean",dback,ACT,75,220,14-Jul-87,8,Utah,Raiders,Nevada
50,"Smith, Telvin",lineb,ACT,75,218,11-Apr-91,3,Florida State,Jaguars,Florida
62,"Smith, Terrance",lineb,ACT,74,235,3-May-93,0,Florida State,Chiefs,Missouri
77,"Smith, Tyron",off,ACT,77,320,12-Dec-90,6,USC,Cowboys,Texas
90,"Smith, Za'Darius",lineb,ACT,76,275,8-Sep-92,2,Kentucky,Ravens,Maryland
77,"Solder, Nate",off,ACT,80,325,12-Apr-88,6,Colorado,Patriots,Massachusetts
49,"Sorensen, Daniel",dback,ACT,74,208,5-Mar-90,3,Brigham Young,Chiefs,Missouri
50,"Spaight, Martrell",lineb,ACT,72,238,5-Aug-93,2,Arkansas,Redskins,DC
55,"Spence, Sean",lineb,ACT,71,231,7-Jun-90,5,Miami (Fla.),Titans,Tennessee 
51,"Spikes, Brandon",lineb,ACT,74,255,3-Sep-87,6,Florida,Bills,New York
24,"Stafford, Daimion",dback,ACT,73,218,18-Feb-91,4,Nebraska,Titans,Tennessee 
74,"Staley, Joe",off,ACT,77,315,30-Aug-84,10,Central Michigan,49ers,California
51,"Stanford, Julian",lineb,RES,73,230,2-Sep-90,3,Wagner,Jets,New York
57,"Staples, Justin",lineb,ACT,76,245,10-Dec-89,3,Illinois,Titans,Tennessee 
52,"Starr, Tyler",lineb,RES,77,250,25-Jan-91,3,South Dakota,Falcons,Georgia
65,"Steen, Anthony",off,ACT,75,313,9-May-90,1,Alabama,Dolphins,Florida
26,"Stewart, Darian",dback,ACT,71,214,4-Aug-88,7,South Carolina,Broncos,Colorado
64,"Strief, Zach",off,ACT,79,320,22-Sep-83,11,Northwestern,Saints,Lousiana
25,"Stuckey, Darrell",dback,ACT,71,212,16-Jun-87,7,Kansas,Chargers,California
54,"Stupar, Nate",lineb,ACT,74,240,14-Mar-88,4,Penn State,Saints,Lousiana
71,"Su'a-Filo, Xavier",off,ACT,76,320,1-Jan-91,3,UCLA,Texans,Texas
55,"Suggs, Terrell",lineb,ACT,75,265,11-Oct-82,14,Arizona State,Ravens,Maryland
56,"Sullivan, John",off,ACT,76,310,8-Aug-85,8,Notre Dame,Redskins,DC
40,"Sunseri, Vinnie",dback,ACT,72,210,25-Oct-91,3,Alabama,49ers,California
27,"Swann, Damian",dback,RES,72,189,4-Dec-92,2,Georgia,Saints,Lousiana
64,"Swanson, Travis",off,ACT,77,304,30-Jan-91,3,Arkansas,Lions,Michigan
36,"Swearinger, D.J.",dback,ACT,70,205,12-Feb-89,4,South Carolina,Cardinals,Arizona
36,"Swearinger, D.J.",dback,ACT,70,205,12-Feb-89,4,South Carolina,Eagles,Pennsylvania
21,"Talib, Aqib",dback,ACT,73,205,13-Feb-86,9,Kansas,Broncos,Colorado
37,"Tandy, Keith",dback,ACT,70,205,12-Feb-89,5,West Virginia,Buccaneers,Florida
29,"Tartt, Jaquiski",dback,ACT,73,221,18-Feb-92,2,Samford,49ers,California
21,"Taylor, Jamar",dback,ACT,71,192,29-Sep-90,4,Boise State,Browns,Ohio
65,"Taylor, Lane",off,ACT,75,324,22-Nov-89,4,Oklahoma State,Packers,Wisconsin
50,"Te'o, Manti",lineb,RES,73,241,26-Jan-91,4,Notre Dame,Chargers,California
23,"Terrell, Steven",dback,ACT,70,197,21-Sep-90,4,Texas A&M,Seahawks,Washington
35,"Therezie, Robenson",dback,ACT,69,212,5-Aug-91,2,Auburn,Saints,Lousiana
29,"Thomas, Earl",dback,RES,70,202,7-May-89,7,Texas,Seahawks,Washington
55,"Thomas, J.T.",lineb,RES,73,236,15-Aug-88,6,West Virginia,Giants,New York
73,"Thomas, Joe",off,ACT,78,312,4-Dec-84,10,Wisconsin,Browns,Ohio
48,"Thomas, Joe",lineb,ACT,73,227,6-May-91,2,South Carolina State,Packers,Wisconsin
31,"Thomas, Michael",dback,ACT,71,193,17-Mar-90,4,Stanford,Dolphins,Florida
43,"Thomas, Phillip",dback,RES,72,223,1-Mar-89,3,Fresno State,Bills,New York
29,"Thomas, Shamarko",dback,RES,69,205,23-Feb-91,4,Syracuse,Steelers,Pennsylvania
27,"Thompson, Darian",dback,RES,73,213,22-Sep-93,0,Boise State,Giants,New York
22,"Thompson, Mykkele",dback,RES,72,193,22-Apr-93,2,Texas,Giants,New York
25,"Thompson, Peyton",dback,ACT,70,189,26-Sep-90,2,San Jose State,Jaguars,Florida
69,"Thornton, Hugh",off,RES,75,320,28-Jun-91,4,Illinois,Colts,Indiana
27,"Thorpe, Neiko",dback,ACT,73,200,1-Feb-90,4,Auburn,Seahawks,Washington
61,"Tiller, Andrew",off,ACT,76,324,13-Mar-89,4,Syracuse,49ers,California
94,"Timmons, Lawrence",lineb,ACT,73,234,14-May-86,10,Florida State,Steelers,Pennsylvania
53,"Timu, John",lineb,ACT,72,245,27-Aug-92,2,Washington,Bears,Illinois
20,"Toler, Greg",dback,ACT,72,180,2-Jan-85,8,St. Paul's (VA),Redskins,DC
56,"Toomer, Korey",lineb,ACT,74,235,9-Dec-88,3,Idaho,Chargers,California
48,"Trail, Lynden",lineb,ACT,78,270,19-Mar-91,1,Norfolk State,Redskins,DC
41,"Trawick, Brynden",dback,ACT,74,225,23-Oct-89,4,Troy,Raiders,Nevada
73,"Tretter, JC",off,RES,76,307,12-Feb-91,4,Cornell,Packers,Wisconsin
59,"Trevathan, Danny",lineb,RES,73,239,24-Mar-90,5,Kentucky,Bears,Illinois
58,"Tripp, Jordan",lineb,ACT,76,244,3-Apr-91,3,Montana,Packers,Wisconsin
21,"Trufant, Desmond",dback,RES,72,190,10-Sep-90,4,Washington,Falcons,Georgia
57,"Trusnik, Jason",lineb,ACT,76,252,6-Jun-84,10,Ohio Northern,Saints,Lousiana
62,"Tuerk, Max",off,ACT,77,298,27-Jan-94,0,USC,Chargers,California
70,"Turner, Trai",off,ACT,75,310,14-Jun-93,3,LSU,Panthers,North Carolina
61,"Ume-Ezeoke, Valerian",off,RES,75,295,14-Feb-93,1,New Mexico State,Steelers,Pennsylvania
47,"Unga, Uani'",lineb,RES,73,233,28-Dec-87,2,Brigham Young,Giants,New York
60,"Unger, Max",off,ACT,77,305,14-Apr-86,8,Oregon,Saints,Lousiana
60,"Urbik, Kraig",off,ACT,77,334,23-Sep-85,8,Wisconsin,Dolphins,Florida
32,"Vaccaro, Kenny",dback,SUS,72,214,15-Feb-91,4,Texas,Saints,Lousiana
53,"Van Noy, Kyle",lineb,ACT,75,243,19-Jun-90,3,Brigham Young,Patriots,Massachusetts
68,"Veldheer, Jared",off,RES,80,321,14-Jun-87,7,Hillsdale,Cardinals,Arizona
68,"Veldheer, Jared",off,RES,80,321,14-Jun-87,7,Hillsdale,Eagles,Pennsylvania
21,"Verner, Alterraun",dback,ACT,70,187,13-Dec-88,7,UCLA,Buccaneers,Florida
22,"Verrett, Jason",dback,RES,70,188,18-Jun-91,3,Texas Christian,Chargers,California
59,"Vigil, Nick",lineb,ACT,74,239,20-Aug-93,0,Utah State,Bengals,Ohio
59,"Vigil, Zach",lineb,ACT,74,240,28-Mar-91,2,Utah State,Redskins,DC
78,"Villanueva, Alejandro",off,ACT,81,320,22-Sep-88,2,Army,Steelers,Pennsylvania
76,"Vollmer, Sebastian",off,PUP,80,320,10-Jul-84,8,Houston,Patriots,Massachusetts
68,"Waddle, LaAdrian",off,ACT,78,315,21-Jul-91,4,Texas Tech,Patriots,Massachusetts
31,"Wade, Trevin",dback,ACT,70,190,1-Aug-89,5,Arizona,Giants,New York
54,"Wagner, Bobby",lineb,ACT,72,245,27-Jun-90,5,Utah State,Seahawks,Washington
71,"Wagner, Ricky",off,ACT,78,310,21-Oct-89,4,Wisconsin,Ravens,Maryland
93,"Walden, Erik",lineb,ACT,74,250,21-Aug-85,9,Middle Tennessee State,Colts,Indiana
52,"Wallace, Aaron",lineb,ACT,74,242,8-Jul-93,0,UCLA,Titans,Tennessee 
72,"Wallace, Cody",off,RES,76,296,26-Nov-84,7,Texas A&M,Steelers,Pennsylvania
25,"Ward, Jimmie",dback,RES,71,193,18-Jul-91,3,Northern Illinois,49ers,California
43,"Ward, T.J.",dback,ACT,70,200,12-Dec-86,7,Oregon,Broncos,Colorado
94,"Ware, DeMarcus",lineb,RES,76,258,31-Jul-82,12,Troy,Broncos,Colorado
75,"Warford, Larry",off,ACT,75,317,18-Jun-91,4,Kentucky,Lions,Michigan
70,"Warmack, Chance",off,RES,74,323,14-Sep-91,4,Alabama,Titans,Tennessee 
49,"Washington, Tony",lineb,RES,76,247,1-Jun-92,1,Oregon,Texans,Texas
57,"Watson, Dekoda",lineb,ACT,74,245,3-Mar-88,7,Florida State,Broncos,Colorado
71,"Watson, Menelik",off,ACT,77,315,22-Dec-88,4,Florida State,Raiders,Nevada
26,"Waynes, Trae",dback,ACT,72,190,25-Jul-92,2,Michigan State,Vikings,Minnesota
56,"Weatherspoon, Sean",lineb,RES,74,244,29-Dec-87,6,Missouri,Falcons,Georgia
28,"Webb, B.W.",dback,ACT,71,190,3-May-90,4,William & Mary,Saints,Lousiana
21,"Webb, Lardarius",dback,ACT,70,182,12-Oct-85,8,Nicholls State,Ravens,Maryland
36,"Webster, Kayvon",dback,RES,71,198,1-Feb-91,4,South Florida,Broncos,Colorado
32,"Weddle, Eric",dback,ACT,71,195,4-Jan-85,10,Utah,Ravens,Maryland
40,"Wells, Ian",dback,RES,71,199,14-Jul-93,0,Ohio U.,Lions,Michigan
72,"Wells, Josh",off,ACT,78,310,14-Feb-91,3,James Madison,Jaguars,Florida
62,"Wendell, Ryan",off,ACT,74,300,4-Mar-86,8,Fresno State,Panthers,North Carolina
77,"Wesley, De'Ondre",off,RES,78,326,28-Jul-92,2,Brigham Young,Ravens,Maryland
41,"Wheeler, Philip",lineb,ACT,74,245,12-Dec-84,9,Georgia Tech,Falcons,Georgia
30,"White, Corey",dback,ACT,73,210,9-May-90,5,Samford,Bills,New York
24,"White, D.J.",dback,ACT,71,193,9-Sep-93,0,Georgia Tech,Chiefs,Missouri
65,"Whitehair, Cody",off,ACT,76,310,11-Jul-92,0,Kansas State,Bears,Illinois
59,"Whitehead, Tahir",lineb,ACT,74,241,2-Apr-90,5,Temple,Lions,Michigan
39,"Whitner, Donte",dback,RES,70,208,24-Jul-85,11,Ohio State,Redskins,DC
77,"Whitworth, Andrew",off,ACT,79,330,12-Dec-81,11,LSU,Bengals,Ohio
51,"Wilber, Kyle",lineb,ACT,76,245,26-Apr-89,5,Wake Forest,Cowboys,Texas
27,"Wilcox, J.J.",dback,ACT,72,212,14-Feb-91,4,Georgia Southern,Cowboys,Texas
57,"Wilhoite, Michael",lineb,ACT,72,240,7-Dec-86,5,Washburn,49ers,California
23,"Williams, Aaron",dback,RES,72,199,23-Apr-90,6,Texas,Bills,New York
52,"Williams, Antwione",lineb,ACT,75,240,26-May-93,0,Georgia Southern,Lions,Michigan
26,"Williams, Brandon",dback,ACT,71,200,9-Sep-92,0,Texas A&M,Cardinals,Arizona
26,"Williams, Brandon",dback,ACT,71,200,9-Sep-92,0,Texas A&M,Eagles,Pennsylvania
63,"Williams, Darrell",off,RES,76,301,31-Aug-93,2,South Florida,Rams,California
31,"Williams, Duke",dback,ACT,71,201,15-Oct-90,4,Nevada,Colts,Indiana
20,"Williams, Marcus",dback,ACT,71,196,24-Mar-91,3,North Dakota State,Jets,New York
25,"Williams, P.J.",dback,RES,72,196,1-Jun-93,2,Florida State,Saints,Lousiana
36,"Williams, Shawn",dback,ACT,72,210,13-May-91,4,Georgia,Bengals,Ohio
21,"Williams, Teddy",dback,RES,73,210,3-Jul-88,5,Texas-San Antonio,Panthers,North Carolina
58,"Williams, Tourek",lineb,ACT,76,262,9-May-91,4,Florida International,Chargers,California
22,"Williams, Tramon",dback,ACT,72,192,16-Mar-83,10,Louisiana Tech,Browns,Ohio
71,"Williams, Trent",off,ACT,77,320,19-Jul-88,7,Oklahoma,Redskins,DC
42,"Williams, Trevor",dback,ACT,71,191,15-Sep-93,0,Penn State,Chargers,California
98,"Williams, Vince",lineb,ACT,73,233,27-Dec-89,4,Florida State,Steelers,Pennsylvania
36,"Williamson, Andrew",dback,RES,73,212,18-Nov-92,0,Vanderbilt,Colts,Indiana
54,"Williamson, Avery",lineb,ACT,73,246,9-Mar-92,3,Kentucky,Titans,Tennessee 
57,"Wilson, Damien",lineb,ACT,73,243,28-May-93,2,Minnesota,Cowboys,Texas
47,"Wilson, Jarrod",dback,ACT,73,209,9-Feb-94,0,Michigan,Jaguars,Florida
24,"Wilson, Kyle",dback,RES,70,190,8-Sep-87,7,Boise State,Saints,Lousiana
