No,Name,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
78,"Clady, Ryan",off,RES,78,315,6-Sep-86,9,Boise State,Jets,New York
24,"Claiborne, Morris",dback,ACT,71,192,7-Feb-90,5,LSU,Cowboys,Texas
74,"Clark, Chris",off,ACT,77,305,1-Oct-85,8,Southern Mississippi,Texans,Texas
63,"Cleary, Emmett",off,ACT,79,324,27-Apr-90,2,Boston College,Cowboys,Texas
21,"Clinton-Dix, Ha Ha",dback,ACT,73,208,21-Dec-92,3,Alabama,Packers,Wisconsin
31,"Cockrell, Ross",dback,ACT,72,191,6-Aug-91,3,Duke,Steelers,Pennsylvania
57,"Cole, Audie",lineb,ACT,77,248,1-Jun-89,5,North Carolina State,Vikings,Minnesota
58,"Cole, Trent",lineb,ACT,75,270,5-Oct-82,12,Cincinnati,Colts,Indiana
22,"Coleman, Justin",dback,ACT,71,190,27-Mar-93,2,Tennessee,Patriots,Massachusetts
20,"Coleman, Kurt",dback,ACT,71,200,1-Apr-88,7,Ohio State,Panthers,North Carolina
32,"Collins, Jalen",dback,ACT,73,203,20-Mar-93,2,LSU,Falcons,Georgia
51,"Collins, Jamie",lineb,ACT,75,250,20-Oct-89,4,Southern Mississippi,Browns,Ohio
21,"Collins, Landon",dback,ACT,72,225,10-Jan-94,2,Alabama,Giants,New York
22,"Colvin, Aaron",dback,RES,72,195,2-Oct-91,3,Oklahoma,Jaguars,Florida
51,"Compton, Will",lineb,ACT,73,238,19-Sep-89,3,Nebraska,Redskins,DC
23,"Conte, Chris",dback,ACT,74,203,23-Feb-89,6,California,Buccaneers,Florida
41,"Cooper, Marcus",dback,ACT,74,192,1-Feb-90,4,Rutgers,Cardinals,Arizona
41,"Cooper, Marcus",dback,ACT,74,192,1-Feb-90,4,Rutgers,Eagles,Pennsylvania
51,"Copeland, Brandon",lineb,ACT,75,263,2-Jul-91,2,Pennsylvania,Lions,Michigan
51,"Correa, Kamalei",lineb,RES,75,250,27-Apr-94,0,Boise State,Ravens,Maryland
29,"Countess, Blake",dback,ACT,69,184,8-Aug-93,0,Auburn,Rams,California
52,"Coyle, Brock",lineb,ACT,73,245,12-Oct-90,3,Montana,Seahawks,Washington
36,"Cravens, Su'a",lineb,ACT,73,222,7-Jul-95,0,USC,Redskins,DC
46,"Crawley, Ken",dback,RES,73,180,8-Feb-93,0,Colorado,Saints,Lousiana
20,"Cromartie, Marcus",dback,ACT,72,195,3-Dec-90,3,Wisconsin,49ers,California
56,"Cushing, Brian",lineb,ACT,75,255,24-Jan-87,8,USC,Texans,Texas
37,"Cyprien, Johnathan",dback,ACT,72,217,29-Jul-90,4,Florida International,Jaguars,Florida
37,"Dangerfield, Jordan",dback,ACT,70,199,25-Dec-90,1,Towson,Steelers,Pennsylvania
53,"Daniels, Steven",lineb,RES,71,245,12-Dec-92,0,Boston College,Redskins,DC
56,"Dansby, Karlos",lineb,ACT,75,251,3-Nov-81,13,Auburn,Bengals,Ohio
28,"Darby, Ronald",dback,ACT,71,193,2-Jan-94,2,Florida State,Bills,New York
54,"David, Lavonte",lineb,ACT,73,233,23-Jan-90,5,Nebraska,Buccaneers,Florida
35,"Davis, Akeem",dback,ACT,73,200,25-Dec-89,3,Memphis,Jaguars,Florida
43,"Davis, Chris",dback,RES,70,201,4-Nov-90,3,Auburn,49ers,California
38,"Davis, Cody",dback,ACT,73,206,6-Jun-89,4,Texas Tech,Rams,California
56,"Davis, Demario",lineb,ACT,74,248,11-Jan-89,5,Arkansas State,Browns,Ohio
75,"Davis, Ryan",lineb,RES,74,275,24-Feb-89,4,Bethune-Cookman,Cowboys,Texas
28,"Davis, Sean",dback,ACT,73,202,23-Oct-93,0,Maryland,Steelers,Pennsylvania
58,"Davis, Thomas",lineb,ACT,73,235,22-Mar-83,12,Georgia,Panthers,North Carolina
51,"Davis, Todd",lineb,ACT,73,230,17-May-92,3,Sacramento State,Broncos,Colorado
21,"Davis, Vontae",dback,ACT,71,207,27-May-88,8,Illinois,Colts,Indiana
47,"Dawson, P.J.",lineb,ACT,72,240,13-Jan-93,2,Texas Christian,Bengals,Ohio
66,"DeCastro, David",off,ACT,77,316,11-Jan-90,5,Stanford,Steelers,Pennsylvania
27,"Demps, Quintin",dback,ACT,71,210,29-Jun-85,9,Texas-El Paso,Texans,Texas
21,"Dennard, Darqueze",dback,ACT,71,198,10-Oct-91,3,Michigan State,Bengals,Ohio
50,"Dent, Akeem",lineb,ACT,73,250,27-Sep-87,6,Georgia,Texans,Texas
28,"Diggs, Quandre",dback,RES,69,200,22-Jan-93,2,Texas,Lions,Michigan
37,"Dixon, Brian",dback,ACT,72,195,26-Apr-90,3,Northwest Missouri State,Cardinals,Arizona
37,"Dixon, Brian",dback,ACT,72,195,26-Apr-90,3,Northwest Missouri State,Eagles,Pennsylvania
30,"Dixon, Travell",dback,ACT,73,210,17-Feb-91,1,Washington,Panthers,North Carolina
93,"Dodd, Kevin",lineb,RES,77,277,14-Jul-92,0,Clemson,Titans,Tennessee 
68,"Dora, Vontarrius",lineb,ACT,75,256,7-Sep-92,0,Louisiana Tech,Broncos,Colorado
20,"Dorleant, Makinton",dback,RES,71,182,6-Oct-92,0,Northern Iowa,Packers,Wisconsin
37,"Doss, Lorenzo",dback,ACT,71,187,20-Apr-94,2,Tulane,Broncos,Colorado
69,"Dotson, Demar",off,ACT,81,315,11-Oct-85,8,Southern Mississippi,Buccaneers,Florida
31,"Dowling, Jonathan",dback,RES,75,190,8-Dec-91,2,Western Kentucky,Bills,New York
23,"Drummond, Kurtis",dback,RES,73,208,29-Jan-92,2,Michigan State,Texans,Texas
58,"Dumervil, Elvis",lineb,ACT,71,250,19-Jan-84,11,Louisville,Ravens,Maryland
47,"Dunbar, Quinton",dback,ACT,74,203,22-Jul-92,2,Florida,Redskins,DC
77,"Dunlap, King",off,ACT,81,330,14-Sep-85,9,Auburn,Chargers,California
48,"Dupree, Bud",lineb,ACT,76,269,12-Feb-93,2,Kentucky,Steelers,Pennsylvania
56,"Durant, Justin",lineb,ACT,73,230,21-Sep-85,10,Hampton,Cowboys,Texas
48,"Dzubnar, Nick",lineb,RES,73,240,15-Aug-91,2,Cal Poly-S.L.O.,Chargers,California
62,"Easton, Nick",off,ACT,74,303,16-Jun-92,2,Harvard,Vikings,Minnesota
43,"Ebner, Nate",dback,ACT,72,220,14-Dec-88,5,Ohio State,Patriots,Massachusetts
30,"Edwards, SaQwan",dback,RES,72,200,13-May-92,1,New Mexico,Raiders,Nevada
33,"Ekpre-Olomu, Ifo",dback,RES,69,200,10-Jul-93,1,Oregon,Dolphins,Florida
33,"Elam, Matt",dback,ACT,70,208,21-Sep-91,4,Florida,Ravens,Maryland
59,"Ellerbe, Dannell",lineb,ACT,73,245,29-Nov-85,8,Georgia,Saints,Lousiana
21,"Elliott, DeAndre",dback,ACT,73,189,21-Nov-92,0,Colorado State,Seahawks,Washington
35,"Elliott, Javien",dback,ACT,71,176,18-Jul-93,0,Florida State,Buccaneers,Florida
91,"Elliott, Jay",lineb,ACT,75,255,11-Nov-91,3,Toledo,Packers,Wisconsin
51,"Emanuel, Kyle",lineb,ACT,75,250,16-Aug-91,2,North Dakota State,Chargers,California
74,"Erving, Cameron",off,ACT,77,313,23-Aug-92,2,Florida State,Browns,Ohio
45,"Evans, Josh",dback,ACT,72,198,5-Jun-91,4,Florida,Redskins,DC
25,"Evans, Marwin",dback,ACT,71,211,10-Apr-93,0,Utah State,Packers,Wisconsin
22,"Everett, Deshazor",dback,ACT,72,198,22-Feb-92,2,Texas A&M,Redskins,DC
32,"Exum, Antone",dback,RES,72,219,27-Feb-91,3,Virginia Tech,Vikings,Minnesota
61,"Fabiano, Anthony",off,ACT,77,307,13-Jul-93,0,Harvard,Browns,Ohio
51,"Fackrell, Kyler",lineb,ACT,77,245,25-Nov-91,0,Utah State,Packers,Wisconsin
41,"Farley, Matthias",dback,ACT,71,210,15-Jul-92,0,Notre Dame,Colts,Indiana
42,"Feeney, Travis",lineb,ACT,76,226,18-Nov-92,0,Washington,Saints,Lousiana
53,"Ferentz, James",off,ACT,74,285,5-Jun-89,2,Iowa,Broncos,Colorado
59,"Fields, Carlos",lineb,ACT,73,248,3-Oct-90,2,Winston-Salem State,Chargers,California
72,"Fisher, Eric",off,ACT,79,315,5-Jan-91,4,Central Michigan,Chiefs,Missouri
24,"Flowers, Brandon",dback,RES,69,187,18-Feb-86,9,Virginia Tech,Chargers,California
53,"Flowers, Marquis",lineb,ACT,75,245,16-Feb-92,3,Arizona,Bengals,Ohio
94,"Floyd, Leonard",lineb,ACT,75,240,8-Sep-92,0,Georgia,Bears,Illinois
